nom_c,fichier,frequence_theorique_hz,frequence_mesuree_hz,erreur_frequence_pct,periode_samples,taille_table,position_s,score_stabilite,score_raccord,premier,dernier,ecart_raccord
do3_attack,do3a.wav,130.812782650,131.885784577,0.8203,334.380237729,334,0.119048,2.3568145523,0.0032993300,5276,2922,+2354.000
do3,do3b.wav,130.812782650,131.708221581,0.6845,334.831033862,335,0.136190,0.0929521120,0.0010171059,171,479,-308.000
sol3_attack,sol3a.wav,195.997717991,194.056499994,-0.9904,227.253403011,227,0.118231,0.0202139598,0.0056821155,-12400,-10840,-1560.000
sol3,sol3b.wav,195.997717991,197.420596810,0.7260,223.380947644,223,0.211746,0.1945410544,0.0009500285,-1423,-1818,+395.000
do4_attack,do4a.wav,392.000000000,393.730824792,0.4415,112.005454547,112,0.098095,0.5723960522,0.0018880059,-6729,-7817,+1088.000
do4,do4b.wav,392.000000000,397.494265571,1.4016,110.944996745,111,0.268889,0.2953974842,0.0002944768,7825,7162,+663.000
sol4_attack,sol4a.wav,391.995435982,390.050272151,-0.4962,113.062349006,113,0.050476,0.0295402887,0.0029104927,6886,5188,+1698.000
sol4,sol4b.wav,391.995435982,394.330939536,0.5958,111.834998420,112,0.345714,0.2256737728,0.0000164061,833,1006,-173.000
do5_attack,do5a.wav,523.251130601,526.951725913,0.7072,83.688880464,84,0.021429,0.2518343234,0.0003253973,6976,7347,-371.000
do5,do5b.wav,523.251130601,527.970652442,0.9020,83.527369932,84,0.286667,0.5903642982,0.0001958742,318,1427,-1109.000
sol5_attack,sol5a.wav,392.000000000,392.240076028,0.0612,112.431142800,112,0.083492,0.0478196738,0.0000564933,10734,10892,-158.000
sol5,sol5b.wav,392.000000000,394.660532171,0.6787,111.741601719,112,0.260000,0.0049735938,0.0000237962,-1163,-911,-252.000
